Parameter	Mu	Mode	Mode(count)	Sigma	Min	Max	5percentile	95percentile	SEM
0	[[0.09325432553134796, -0.05578487311502409, 1.0, 0.11599203184309181, -0.05578487311502409, 0.2985013305041924, -0.03165924441383771, 0.2929091476059964, 0.02274790899189234]]
1	[[0.0933691018998517, -0.056392529144535235, 1.0, 0.1159122161697027, -0.056392529144535235, 0.2985013305041924, -0.03143960157486901, 0.2926474182125888, 0.022732255850503813]]
2	[[0.08929867814418613, -0.1451080859519937, 1.0, 0.13273818105538493, -0.1451080859519937, 0.2998229852500588, -0.06763924114830053, 0.29416350171786054, 0.02603209905385461]]
3	[[0.0890233170553273, -0.143878615229352, 1.0, 0.13137631639575875, -0.143878615229352, 0.29676252695839683, -0.06588565578072714, 0.28917682551233936, 0.025765015420227445]]
4	[[0.08879113740244052, -0.1463562677001132, 1.0, 0.1317247823943662, -0.1463562677001132, 0.2940726072365319, -0.0652963014836291, 0.2917336516198792, 0.02583335522510141]]
5	[[0.088186057395712, -0.14607077168114155, 1.0, 0.13158222586013532, -0.14607077168114155, 0.2929767355211586, -0.06715299005032135, 0.2909864159700394, 0.025805397588569354]]
6	[[0.08727384807541225, -0.1464029233187082, 1.0, 0.13103323205294223, -0.1464029233187082, 0.29396471427086884, -0.06751932143410862, 0.29161872119801807, 0.02569773104488784]]
7	[[0.1134274874106981, -0.0562646348676887, 1.0, 0.13870879581721332, -0.0562646348676887, 0.2997082899065211, -0.03426727615388797, 0.2964459989723062, 0.027203032945343385]]
8	[[0.1129725964095984, -0.05803102310759396, 1.0, 0.13836107341036316, -0.05803102310759396, 0.29598453517191275, -0.03538650550083522, 0.29414372553458334, 0.027134838970810985]]
9	[[0.11291893131275393, -0.06031053710125446, 1.0, 0.13851176580868654, -0.06031053710125446, 0.29669565862196795, -0.034833433699304445, 0.29468187278715735, 0.027164392181564866]]
10	[[0.11291289957831116, -0.06029231654023667, 1.0, 0.1381365323530254, -0.06029231654023667, 0.29414086778733217, -0.034689663164740016, 0.2925164025584983, 0.027090802846466054]]
11	[[0.11346052464602273, -0.0607112830064166, 1.0, 0.1386715366812368, -0.0607112830064166, 0.29655182469552754, -0.033758248912826264, 0.2925119499466605, 0.02719572582759708]]
12	[[0.11013182531708589, -0.05751078536879314, 1.0, 0.1323735756857955, -0.05751078536879314, 0.29903398387625973, -0.03487187032786988, 0.29422680005688995, 0.025960594057920106]]
13	[[0.10973214202014586, -0.05540980618692543, 1.0, 0.13199979680703247, -0.05540980618692543, 0.2995871373343599, -0.03673590982119244, 0.29269872311889933, 0.025887289988820818]]
14	[[0.10967470394351612, -0.05587237725784586, 1.0, 0.13238917133253292, -0.05587237725784586, 0.2995871373343599, -0.03829231713132458, 0.2894887842561136, 0.025963652615883227]]
15	[[0.10936848253096887, -0.0561079177570027, 1.0, 0.13203122270738124, -0.0561079177570027, 0.2994916270697617, -0.03689821313561665, 0.28972668682286323, 0.02589345311494045]]
16	[[0.1095100777939865, -0.05637711250841445, 1.0, 0.13236659789431734, -0.05637711250841445, 0.29378020826087736, -0.03713052231663556, 0.28980451308044747, 0.025959225600423606]]
17	[[0.1094865866701049, -0.056258939231306336, 1.0, 0.1315365520894996, -0.056258939231306336, 0.2985921012197912, -0.032758121802203284, 0.29125360236797826, 0.02579644022519508]]
18	[[0.10886765218946043, -0.0553804245664546, 1.0, 0.13108055811756514, -0.0553804245664546, 0.29348648750817274, -0.03340399968502307, 0.2913204837352628, 0.02570701244977299]]
19	[[0.10813761700051627, -0.05592703991755612, 1.0, 0.13081106529879477, -0.05592703991755612, 0.2944110353865342, -0.034677711254784006, 0.2908368802406932, 0.025654160559708247]]
20	[[0.1084625526597889, -0.056100396366721886, 1.0, 0.13100793811909836, -0.056100396366721886, 0.299540447891348, -0.03481492487417138, 0.2895471375743832, 0.02569277049633995]]
21	[[0.10835037752805825, -0.057141892825523635, 1.0, 0.1315402723053367, -0.057141892825523635, 0.2988548359873448, -0.03582049985086412, 0.2887854685525684, 0.02579716981954694]]
22	[[0.10002154533717776, -0.1442452069804376, 1.0, 0.14104301304721883, -0.1442452069804376, 0.2999514664603455, -0.06361108589029399, 0.2998248723160022, 0.027660810607065024]]
23	[[0.09974355058980126, -0.14551885625820765, 1.0, 0.14068338091486532, -0.14551885625820765, 0.2999514664603455, -0.06410085749403988, 0.29922738194301013, 0.027590280943196346]]
24	[[0.09969588641231335, -0.1437565316507222, 1.0, 0.14043521911344525, -0.1437565316507222, 0.29928773217425164, -0.06455356255183937, 0.29870196010727923, 0.027541612409812916]]
25	[[0.09916035954192201, -0.14192371906455967, 1.0, 0.13936313754944799, -0.14192371906455967, 0.29928773217425164, -0.06375512023277713, 0.29808021973127186, 0.027331359916928873]]
26	[[0.09961162760948973, -0.13914801431966142, 1.0, 0.13956299579518291, -0.13914801431966142, 0.29928773217425164, -0.06574147482255535, 0.2984635886969992, 0.027370555343657902]]
